seed,round,method,correlation,rmse_c,mae_c,worst_client_rmse_c,p90_client_rmse_c,client_rmse_sd_c,effective_bits,energy_j,utility_target_js,temperature_coverage_js,participation_jain,max_relay_energy_j,min_residual_energy_j
61,14,random,0.0,1.7989772577602208,0.8915535600178908,8.682302316713292,2.1019782815594414,1.4251530491219786,1135303.6218972143,3.171198330363591,0.07924950045516674,0.0004907199252127371,0.8038057742782152,0.10143675820980057,8.497553534544863
61,15,random,0.0,1.7941108403155017,0.8864129695607675,8.67517773624529,2.077688239029662,1.4243717822945514,1222318.9802811958,3.4113336546467488,0.0792887077938812,0.0005157627083721448,0.819493006993007,0.10298362442786176,8.483389917717805
61,16,random,0.0,1.7840027494044486,0.8574428982120958,8.67932957996844,2.11212916363623,1.432571151909638,1300888.8010971635,3.6320442425234747,0.07863105412327005,0.0003980860997532369,0.8154943934760448,0.10434560504051527,8.483389917717805
61,17,random,0.0,1.7840965896127514,0.8642272502846166,8.66962913052037,2.113547091449868,1.429476812518449,1390796.1549209654,3.8788311563182183,0.07003191366092246,0.000342429346400812,0.83855617455896,0.11442624936429084,8.483389917717805
61,18,random,0.0,1.7733094144281611,0.8486928461349421,8.665066294466731,1.9727380745317582,1.428709712841063,1486866.4031477233,4.139792727239758,0.06967322036101736,0.00025565760373179384,0.8587786259541985,0.12111614298170566,8.469226300890746
61,19,random,0.0,1.7747788826231898,0.8567315660687769,8.660540773068357,1.9632375486488778,1.4255155060187357,1570914.3122666285,4.373102918213235,0.06875067107062169,0.0003054403613124291,0.8605072463768116,0.1426075074233884,8.469226300890746
61,20,random,0.0,1.761894317255865,0.8284990454893476,8.653668413440421,1.9629717989579731,1.431470269156876,1663912.548474657,4.6269988614916935,0.06727441104403517,0.00025189116705234317,0.862663906142167,0.14979736148245532,8.469226300890746
61,21,random,0.0,1.7653648705840739,0.8374012916714341,8.655751976355399,1.9630944416156428,1.4291007695485787,1739985.4274903487,4.84196648322778,0.06075114190843102,0.00019745557749159553,0.8716793168880456,0.14979736148245532,8.469226300890746
61,22,random,0.0,1.7533193138020724,0.8095998930091479,8.652325907139222,1.963485526800987,1.434791414262741,1832311.1800389462,5.094315714089551,0.06112846035630382,0.00017433555110143046,0.8783391405342624,0.15963705386840787,8.469226300890746
61,23,random,0.0,1.7465235747842294,0.7961390934670658,8.650087105873135,1.9647687186966265,1.4366642225256394,1936644.4075117412,5.374282137276975,0.05676384387518396,0.00015138907401627606,0.8960027100271003,0.17847857998320496,8.453685220764422
61,24,random,0.0,1.749087275860443,0.809555295150598,8.643143773460247,1.9657897117174814,1.4320708767190578,2018395.7683817772,5.602310267278053,0.05881209776487031,0.00010747407176999549,0.8915304606240714,0.18748041371204952,8.453685220764422
61,25,random,0.0,1.745062808763195,0.8042264638523661,8.64470582086818,1.967809970912587,1.4319422190141404,2120856.0602561054,5.877968938589005,0.056451061477791026,0.00010071360864330912,0.8979885057471264,0.20901093525782097,8.42398052381104
61,26,random,0.0,1.7399845573501163,0.7967177679962827,8.639469711627354,1.9704610812057837,1.4322848030452966,2210860.553729346,6.124979273577455,0.051337535233812306,7.096243460617455e-05,0.9039366709456568,0.22785246137261805,8.42398052381104
61,27,random,0.0,1.7377135097108845,0.7926664596545164,8.638605626951566,1.9710564035001767,1.4326133582533773,2314158.1515257666,6.402563748509219,0.052737344456681365,6.854427731461745e-05,0.9018705463182898,0.24753184614452314,8.408439443684715
61,28,random,0.0,1.7374938322754734,0.7924218549249027,8.638898930029578,1.9709610828082114,1.4324929681828655,2414750.794517335,6.673926827389822,0.056176894292791574,5.533597791768157e-05,0.8915574963609898,0.2573715385304757,8.394275826857656
61,29,random,0.0,1.7369701430724216,0.7947979515535959,8.638623282821802,1.972090406439136,1.430710411165331,2515376.098838901,6.945365027329421,0.05891067955315295,6.29984415183033e-05,0.8902862466124661,0.26721123091642823,8.394275826857656
61,30,random,0.0,1.7347019883150983,0.7910474898464336,8.63565200971383,1.9723018955813434,1.4310478194744773,2591789.1186996903,7.161114973009234,0.05749549661940126,7.140308415519599e-05,0.9014423076923077,0.2762130646452728,8.394275826857656
67,1,random,0.0,2.3003618260648673,1.6135960962044094,8.80943331587089,3.035260751995343,1.3619227423549134,63909.09715342403,0.1869909234528753,0.41925955583050917,0.0013297475230713666,0.20833333333333334,0.011442624936429084,8.502564680406177
67,2,random,0.0,2.031993032335979,1.270658765848056,8.781520212813973,2.5548882889112,1.379524915205448,161770.31933014898,0.45207173445934273,0.24893674474496813,0.0007701500927073361,0.3787878787878788,0.018213331280671367,8.502564680406177
67,3,random,0.0,1.885656810586425,1.025742405345705,8.76547229683768,2.3768192963649817,1.4163794488475936,235673.15615365232,0.6620482591534004,0.1955552965214018,0.00046434168735081304,0.4934210526315789,0.023943675923019887,8.502564680406177
67,4,random,0.0,1.8274359190864422,0.9002453114756842,8.778552768668993,2.326474595079919,1.436956044735964,325194.52390904905,0.9079474049908127,0.20207531173177348,0.0009964580393126666,0.5376344086021505,0.03432787480928725,8.502564680406177
