dataset,baseline,metric,n,seed_role,mean_proposed,mean_baseline,mean_diff,percent_change_vs_baseline,bootstrap95_low,bootstrap95_high,signflip_p,cohen_d_paired,cliffs_delta_unpaired,holm_p
uci_har,fedcg_adapted,accuracy,10,held-out evaluation,0.8867060561299853,0.8760216642048253,0.010684391925160052,1.2196492805755432,0.006893156080748431,0.01418020679468246,0.00390625,1.706024986747936,0.95,0.01953125
uci_har,fedcg_adapted,macro_f1,10,held-out evaluation,0.8826666012507411,0.8705372646672875,0.012129336583453488,1.3933161825173819,0.007982894599805224,0.016128638962942955,0.001953125,1.7331969091691486,0.98,0.017578125
uci_har,fedcg_adapted,worst_client_accuracy,10,held-out evaluation,0.5683333333333334,0.5366666666666667,0.031666666666666655,5.9006211180124195,0.0016666666666666718,0.06166666666666665,0.109375,0.6186158035222599,0.42,0.21875
uci_har,fedcg_adapted,p10_client_accuracy,10,held-out evaluation,0.7538068658416611,0.7194566167290886,0.03435024911257243,4.774471220897398,0.016519437109143543,0.052662118780096336,0.0078125,1.1176458093531731,0.8,0.0234375
uci_har,fedcg_adapted,effective_bits,10,held-out evaluation,11253027.880925816,9311113.476471554,1941914.4044542618,20.855877327253346,1582505.0900840317,2320701.9623811627,0.001953125,3.1110235124728125,0.96,0.017578125
uci_har,fedcg_adapted,energy_j,10,held-out evaluation,19.199521551518746,15.341271258058402,3.858250293460344,25.149482259716237,3.1243433198687844,4.6439869111871435,0.001953125,2.9831947788072344,0.98,0.017578125
uci_har,fedcg_adapted,max_relay_energy_j,10,held-out evaluation,1.2421220972369713,0.6434742911152924,0.598647806121679,93.03367894995174,0.3219325937431014,0.879934364938055,0.00390625,1.2608594827186947,0.8,0.01953125
uci_har,fedcg_adapted,utility_target_js,10,held-out evaluation,0.027457506262656844,0.13411011069216747,-0.10665260442951063,-79.52614749108513,-0.126693821483468,-0.08865197886617944,0.001953125,-3.288805750784449,-1.0,0.017578125
uci_har,fedcg_adapted,class_coverage_js,10,held-out evaluation,6.41251747947287e-05,6.962678667563181e-05,-5.501611880903112e-06,-7.901573724108946,-4.166164331119109e-05,2.5979664395143228e-05,0.7890625,-0.09470018938734708,-0.14,0.7890625
uci_har,proposed_fixed_comp,accuracy,10,held-out evaluation,0.8867060561299853,0.794682422451994,0.09202363367799117,11.579925650557627,0.06720827178729692,0.11536189069423933,0.001953125,2.257130418581696,1.0,0.017578125
uci_har,proposed_fixed_comp,macro_f1,10,held-out evaluation,0.8826666012507411,0.7569987124930375,0.1256678887577036,16.60080614190733,0.08750082099964675,0.16191001290511275,0.001953125,1.983426840617483,1.0,0.017578125
uci_har,proposed_fixed_comp,worst_client_accuracy,10,held-out evaluation,0.5683333333333334,0.5031818181818182,0.06515151515151515,12.947907256850348,0.005389610389610389,0.12060606060606065,0.0703125,0.6688665019622333,0.55,0.140625
uci_har,proposed_fixed_comp,p10_client_accuracy,10,held-out evaluation,0.7538068658416611,0.6525152444289632,0.10129162141269787,15.523257468312696,0.06649159408510621,0.13996172416444252,0.001953125,1.6129950729553173,0.9,0.017578125
uci_har,proposed_fixed_comp,effective_bits,10,held-out evaluation,11253027.880925816,31231811.378314078,-19978783.49738826,-63.96933964342715,-20690569.095995653,-19261041.29044723,0.001953125,-16.369671196209715,-1.0,0.017578125
uci_har,proposed_fixed_comp,energy_j,10,held-out evaluation,19.199521551518746,49.25836042756002,-30.05883887604128,-61.022816462286016,-31.467169681423037,-28.677132971165737,0.001953125,-12.839314186208188,-1.0,0.017578125
uci_har,proposed_fixed_comp,max_relay_energy_j,10,held-out evaluation,1.2421220972369713,0.8068701656378708,0.4352519315991006,53.94324268452935,0.16621930054747586,0.7179598934256388,0.015625,0.9286254592917876,0.5,0.046875
uci_har,proposed_fixed_comp,utility_target_js,10,held-out evaluation,0.027457506262656844,0.10097740472038434,-0.07351989845772751,-72.80826701905325,-0.09176957783351605,-0.05637682888864258,0.001953125,-2.438578292795192,-1.0,0.017578125
uci_har,proposed_fixed_comp,class_coverage_js,10,held-out evaluation,6.41251747947287e-05,7.818647167513074e-05,-1.4061296880402048e-05,-17.98430927901126,-3.733412383383232e-05,9.636618830216486e-06,0.30078125,-0.3497671343034905,-0.28,0.30078125
