method,seed,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,class_coverage_js
resource_adaptive,83,0.0,0.8867552929591335,0.8830070646437457,0.5666666666666667,0.7371863799283155,0.10737706399973668,8496345.336515566,4876800.0,32390400.0,1.03,1.7421967963655627,13.736562390436719,7.787546479804079,0.116600973956645,0.5564830272676683,0.2182224374986342,9.116425989748073e-05
resource_adaptive,89,0.0,0.879862136878385,0.874653726953088,0.55,0.6921428571428572,0.11458300592678637,8598825.777023131,4876800.0,32390400.0,1.045,1.7632106662202969,14.003233025810996,8.025884378921267,0.3105893579924266,0.6295247088448221,0.1755583175539351,9.182341331511274e-05
resource_adaptive,97,0.0,0.8729689807976366,0.8680017901959952,0.5833333333333334,0.6985714285714285,0.10292287906204366,9762242.991078217,5160048.0,32390400.0,1.03,1.9214109755655633,15.645481198599082,7.9871188769495856,0.21511277062622272,0.735023888276369,0.13866713214524234,0.0002123702323448013
utility_adaptive,53,0.0,0.8877400295420975,0.8846006929901428,0.6,0.7536866359447004,0.09367680748459878,12511324.331010317,5281440.0,32390400.0,1.285,2.4553431395540635,21.37786200993176,6.508603427947565,3.136773327886127,0.5678591709256104,0.09190681874034903,3.2189588753713276e-05
utility_adaptive,59,0.0,0.8887247661250616,0.8857906716128046,0.6333333333333333,0.7508294930875576,0.09555331847250509,13103502.224588644,5823600.0,32390400.0,1.23,2.43394787184935,22.213632551362167,6.626380409844122,1.7265738696406947,0.6248047485160887,0.05576961956268105,1.0489762481841528e-05
utility_adaptive,61,0.0,0.8330871491875923,0.8146198220311764,0.5166666666666667,0.7113964686998395,0.10501474042915482,13329600.652391851,5329968.0,32390400.0,1.4,2.6159351355649734,23.74279863743747,7.076747394573093,2.211637427481706,0.6626905235255136,0.04569133284638962,2.906894783941965e-05
utility_adaptive,67,0.0,0.8921713441654358,0.886967852269059,0.5333333333333333,0.784147465437788,0.10245285232119501,11558251.718311181,5410896.0,32390400.0,1.205,2.2370633422996127,19.480134111358023,6.6711302188763195,1.7893165039945378,0.6459948320413437,0.06024376610896701,1.7199515761123015e-05
utility_adaptive,71,0.0,0.8877400295420975,0.88425910747088,0.5833333333333334,0.7393579454253612,0.09830133191206225,11831531.207854126,5135760.0,32390400.0,1.215,2.34933183799087,20.13302753854786,7.967733640468229,1.326262250020055,0.7326007326007326,0.05401758148650736,1.0596728067032042e-05
utility_adaptive,73,0.0,0.8852781880846874,0.8826525786629466,0.65,0.7402728731942215,0.08780688832975805,10979171.047796946,5281440.0,32390400.0,1.135,2.1584554600326924,18.505933542695665,7.630992825338176,0.8038510298633347,0.607164541590771,0.0621533582469196,2.886483881958451e-05
utility_adaptive,79,0.0,0.8867552929591335,0.8827945874232427,0.55,0.7402728731942215,0.10066901492903356,13422945.470051957,5491824.0,32390400.0,1.28,2.5889355290253375,23.29726240020405,7.626931888535902,2.4058086942533428,0.613308800981294,0.06143904399074798,5.492430975240171e-05
