round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
145,100,0,1.1223039999999997,156.60371199999986,100,100,0,0,0,0,14500,14500,14500,0,0,0,1.0,149980.14861869955,0.5452981219233214,46772,33,42.006430277525226
146,100,0,1.3829119999999993,157.98662399999986,100,100,0,0,0,0,14600,14600,14600,0,0,0,1.0,149990.97645127235,0.5463702056758982,47155,34,41.93614379129698
147,100,0,1.2345599999999997,159.22118399999985,100,100,0,0,0,0,14700,14700,14700,0,0,0,1.0,150027.92593226806,0.5468548270649636,47508,34,41.875628396433456
148,100,0,1.152224,160.37340799999984,100,100,0,0,0,0,14800,14800,14800,0,0,0,1.0,150031.80577169018,0.5469318422265588,47844,34,41.81739239056104
149,100,0,1.2639679999999998,161.63737599999985,100,100,0,0,0,0,14900,14900,14900,0,0,0,1.0,150019.95578052456,0.5476503342290246,48201,34,41.75139758248158
150,100,0,1.2371519999999991,162.87452799999986,100,100,0,0,0,0,15000,15000,15000,0,0,0,1.0,150063.88230331524,0.5482936207316639,48554,34,41.692450912557135
151,100,0,1.1735679999999995,164.04809599999984,100,100,0,0,0,0,15100,15100,15100,0,0,0,1.0,150093.25070130668,0.5485118486060437,48893,34,41.63283070496417
152,100,0,1.1542399999999997,165.20233599999983,100,100,0,0,0,0,15200,15200,15200,0,0,0,1.0,150111.7272336877,0.5486074703320384,49229,34,41.57519843838143
153,100,0,1.0690559999999993,166.27139199999982,100,100,0,0,0,0,15300,15300,15300,0,0,0,1.0,150130.1197983597,0.5485758499359344,49548,34,41.521637941978504
154,100,0,1.097023999999999,167.36841599999983,100,100,0,0,0,0,15400,15400,15400,0,0,0,1.0,150114.965538062,0.5486196490270081,49873,34,41.46274998191789
155,100,0,1.017632,168.38604799999982,100,100,0,0,0,0,15500,15500,15500,0,0,0,1.0,150113.05449724686,0.548153676255434,50178,36,41.41316717355134
156,100,0,1.148288,169.53433599999983,100,100,0,0,0,0,15600,15600,15600,0,0,0,1.0,150096.6034396715,0.5479350949329439,50514,36,41.35754518190824
157,100,0,1.3190720000000007,170.85340799999983,100,100,0,0,0,0,15700,15700,15700,0,0,0,1.0,150133.05441352405,0.5483249398666128,50887,36,41.29444816450641
158,100,0,1.0923519999999993,171.94575999999984,100,100,0,0,0,0,15800,15800,15800,0,0,0,1.0,150109.47638371558,0.5483193042311808,51211,37,41.239728726639484
159,100,0,1.0515839999999999,172.99734399999983,100,100,0,0,0,0,15900,15900,15900,0,0,0,1.0,150097.19455577323,0.5480154753371471,51527,37,41.18884864391274
