seed,correlation,round,method,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,mean_residual_energy_j,participation_jain,utility_target_js,class_coverage_js,relay_queue_max,relay_energy_max_j,selected,accepted_updates
89,0.0,39,random,0.955,0.9553671918723948,1847411.0205966032,730080.0,1426464.0,1.311965811965812,2.5304227216149,6.856074368097818,8.063752448305804,9.499268019335435,0.8947058823529411,0.03959992664739617,0.00047336651275512007,0.32247436076987196,0.47447436076987204,6,6
89,0.0,40,random,0.957,0.9573477263210581,1885622.0853123348,748800.0,1463040.0,1.3083333333333333,2.5181918874363487,7.013327519370986,8.049879240085652,9.492715804699055,0.8955223880597015,0.040038798271788356,0.0003419107054781796,0.33234756899002466,0.48834756899002474,6,6
97,0.0,1,random,0.681,0.6547898302429604,46392.29173240808,18720.0,36576.0,1.3333333333333333,2.4782207122012863,0.17253783484095875,8.884646099304877,10.006971418952737,0.25,0.3803956656215095,0.06545383861696792,0.022971409894343448,0.02697140989434345,6,6
97,0.0,2,random,0.836,0.8344088418472898,88070.38461170826,37440.0,73152.0,1.25,2.352307281295627,0.3364111000711484,8.884646099304877,10.000143366234814,0.375,0.23799555182591126,0.019720969923165445,0.018971409894343448,0.02697140989434345,6,6
97,0.0,3,random,0.862,0.8636654030486518,141313.34125629722,56160.0,109728.0,1.2777777777777777,2.5162631990081414,0.5227667576920664,8.884646099304877,9.992378547167275,0.5192307692307693,0.15619527362623875,0.005692868119745377,0.024446884183892785,0.032446884183892785,6,6
97,0.0,4,random,0.895,0.8953856114500622,189028.29718181028,74880.0,146304.0,1.2916666666666667,2.5244163619365687,0.699101756895878,8.884646099304877,9.985031255533784,0.5217391304347826,0.15946826524720586,0.0067188250337361505,0.036670326275839174,0.04867032627583918,6,6
97,0.0,5,random,0.9,0.8999210794484311,237272.61806808203,93600.0,182880.0,1.3,2.534963868248739,0.8750202162959185,8.884646099304877,9.977701319725448,0.625,0.12342920878895919,0.007072768463346528,0.03380630135494539,0.05380630135494539,6,6
97,0.0,6,random,0.91,0.9104524041546982,271409.02725785924,112320.0,219456.0,1.25,2.4163909121960394,1.0222248300805843,8.884646099304877,9.971567794151087,0.675,0.10613955983780071,0.0023280024972530755,0.02980630135494539,0.05380630135494539,6,6
97,0.0,7,random,0.921,0.9210825270825364,317721.29521254246,131040.0,256032.0,1.2380952380952381,2.424613058703772,1.1930493579238486,8.884646099304877,9.964450105490952,0.6933962264150944,0.10461781197789138,0.0014886508652511181,0.04089376836778556,0.06489376836778557,6,6
97,0.0,8,random,0.915,0.9157892775337972,362632.2718048403,149760.0,292608.0,1.25,2.421422755107106,1.3649573589593933,8.884646099304877,9.95728727211447,0.7272727272727273,0.08730140156655186,0.0011126426357887073,0.03689376836778556,0.06722374708524637,6,6
97,0.0,9,random,0.923,0.9226139451059879,406452.8164875591,168480.0,329184.0,1.2407407407407407,2.4124692336630993,1.5309302202610107,8.884646099304877,9.950371736226904,0.7319277108433735,0.08931144618292475,0.0015555637255691996,0.04800312882603164,0.08000312882603164,6,5
97,0.0,10,random,0.93,0.9302175846588352,457981.61932585115,187200.0,365760.0,1.2666666666666666,2.44648300921929,1.7182576050105274,8.884646099304877,9.942566428529007,0.7653061224489796,0.0749954094160201,0.001613937025613021,0.060226570917978034,0.09622657091797804,6,6
97,0.0,11,random,0.922,0.9221187315083741,495482.63770392677,205920.0,402336.0,1.2424242424242424,2.4061899655396597,1.8705091325776406,8.871155940794479,9.936222614880377,0.8030973451327433,0.06305595249397472,0.0015853688088994164,0.05622657091797803,0.09622657091797804,6,6
97,0.0,12,random,0.923,0.922838752408494,540349.3769451895,224640.0,438912.0,1.25,2.4054014287089993,2.042196824383404,8.871155940794479,9.929068961055137,0.8181818181818182,0.06621421390612543,0.0018362305748523748,0.0673359313762241,0.1113359313762241,6,6
97,0.0,13,random,0.927,0.92709564084882,587735.8992151927,243360.0,475488.0,1.2564102564102564,2.4150883432576955,2.2185566062299062,8.857633176110136,9.921720636811534,0.845,0.05467610279558402,0.002284326488787451,0.06333593137622409,0.1113359313762241,6,6
