round,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
267,80,20,23.4571600774201,25656,25636,20,0.9992204552541316,0.01700034018867125,384059.92509363295
268,80,20,23.39520187546287,25736,25716,20,0.9992228784581909,0.017000340105688284,383820.89552238805
269,80,20,23.333243673505645,25816,25796,20,0.9992252866439417,0.01700034002322002,383583.6431226766
270,80,20,23.27128547154842,25896,25876,20,0.9992276799505715,0.017000339941261683,383348.14814814815
271,80,20,23.20932726959119,25976,25956,20,0.9992300585155528,0.01700033985980856,383114.39114391146
272,80,20,23.147369067633964,26056,26036,20,0.9992324224746699,0.017000339778855993,382882.35294117645
273,80,20,23.085410865676735,26136,26116,20,0.9992347719620447,0.017000339698399387,382652.01465201465
274,80,20,23.023452663719503,26216,26196,20,0.9992371071101618,0.01700033961843419,382423.3576642336
275,80,20,22.961494461762275,26296,26276,20,0.9992394280498935,0.017000339538955918,382196.36363636365
276,79,21,22.899963711855037,26376,26355,21,0.9992038216560509,0.01700033945605497,381956.52173913043
277,79,21,22.839818652840023,26455,26434,21,0.9992061992061992,0.017000339373649535,381718.41155234654
278,78,22,22.780081800691764,26534,26512,22,0.9991708751036407,0.017000339287880806,381467.6258992806
279,78,22,22.72173677119785,26612,26590,22,0.9991733052758154,0.017000339202615275,381218.63799283153
280,78,22,22.663391741703943,26690,26668,22,0.9991757212439116,0.01700033911784852,380971.4285714286
281,78,22,22.605046712210022,26768,26746,22,0.999178123132098,0.01700033903357618,380725.97864768683
282,78,22,22.546701682716108,26846,26824,22,0.9991805110631007,0.01700033894979394,380482.2695035461
283,78,22,22.488356653222198,26924,26902,22,0.9991828851582232,0.01700033886649754,380240.2826855124
284,78,22,22.43001162372828,27002,26980,22,0.9991852455373677,0.017000338783682765,380000.0
285,78,22,22.371666594234362,27080,27058,22,0.9991875923190546,0.01700033870134545,379761.4035087719
286,78,22,22.313321564740452,27158,27136,22,0.9991899256204433,0.017000338619481477,379524.4755244755
287,78,22,22.254976535246534,27236,27214,22,0.9991922455573505,0.017000338538086777,379289.19860627176
288,78,22,22.19663150575262,27314,27292,22,0.9991945522442703,0.017000338457157326,379055.55555555556
289,78,22,22.13828647625871,27392,27370,22,0.9991968457943925,0.017000338376689145,378823.5294117647
290,78,22,22.079941446764792,27470,27448,22,0.9991991263196214,0.017000338296678304,378593.1034482759
291,78,22,22.02159641727088,27548,27526,22,0.9992013939305938,0.017000338217120915,378364.26116838487
292,78,22,21.963251387776968,27626,27604,22,0.9992036487366973,0.017000338138013132,378136.98630136985
293,78,22,21.90490635828305,27704,27682,22,0.9992058908460872,0.017000338059351153,377911.2627986348
294,78,22,21.846561328789136,27782,27760,22,0.9992081203657044,0.017000337981131226,377687.07482993195
295,78,22,21.788216299295218,27860,27838,22,0.9992103374012922,0.017000337903349632,377464.406779661
296,78,22,21.729871269801304,27938,27916,22,0.9992125420574128,0.017000337826002694,377243.24324324325
297,78,22,21.67152624030739,28016,27994,22,0.9992147344374643,0.017000337749086783,377023.569023569
298,78,22,21.613181210813476,28094,28072,22,0.9992169146436961,0.017000337672598304,376805.36912751675
299,78,22,21.55483618131956,28172,28150,22,0.9992190827772256,0.0170003375965337,376588.6287625418
300,78,22,21.49649115182565,28250,28228,22,0.9992212389380531,0.017000337520889468,376373.3333333333
301,78,22,21.438146122331734,28328,28306,22,0.9992233832250776,0.017000337445662126,376159.4684385382
302,78,22,21.37980109283782,28406,28384,22,0.9992255157361121,0.017000337370848235,375947.01986754965
303,77,23,21.322800500690068,28484,28461,23,0.9991925291391659,0.017000337293149027,375722.7722772277
304,77,23,21.266110073299604,28561,28538,23,0.9991947060677148,0.017000337215869105,375500.0
305,77,23,21.209419645909144,28638,28615,23,0.9991968712898945,0.01700033713900509,375278.68852459016
306,77,23,21.15272921851868,28715,28692,23,0.9991990248998781,0.017000337062553633,375058.82352941175
