round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,generated_total,delivered_total,channel_drops_total,energy_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
110,99,1,2.084831999999995,234.17866293185307,99,89,10,0,10996,9735,1260,1,0.8853219352491816,166283.29631949303,1.081245296594352,57622,7113,33.860906210611184
111,99,1,2.097023999999995,236.27568693185307,99,88,11,0,11095,9823,1271,1,0.8853537629562866,166297.2627874854,1.0814521037989004,58138,7173,33.72018113003164
112,99,1,2.080767999999995,238.35645493185308,99,88,11,0,11194,9911,1282,1,0.8853850276934072,166322.32599421046,1.0814325816650896,58650,7231,33.58007138271218
113,99,1,2.1295359999999954,240.48599093185308,99,90,9,0,11293,10001,1291,1,0.8855928451252989,166346.48798039966,1.0816703444658857,59174,7295,33.43333517347699
114,99,1,2.0645119999999952,242.5505029318531,99,87,12,0,11392,10088,1303,1,0.8855337078651685,166365.35283267288,1.0817962680246265,59682,7351,33.29578350983395
115,99,1,2.1539199999999954,244.7044229318531,99,90,9,0,11491,10178,1312,1,0.8857366634757636,166372.14608637354,1.0820226871566132,60212,7420,33.14742146374135
116,99,1,2.0848319999999956,246.7892549318531,99,87,12,0,11590,10265,1324,1,0.8856773080241588,166376.77362143688,1.082065063289486,60725,7478,33.00479697898322
117,98,2,2.0879135323428586,248.87716846419596,99,88,10,1,11689,10353,1334,2,0.8857045085122764,166395.3357214349,1.0820393225699172,61238,7535,32.86379289963175
118,98,2,2.1010879999999954,250.97825646419597,98,88,10,0,11787,10441,1344,2,0.8858063968779164,166404.8535055385,1.0823019296756184,61755,7600,32.72489929516809
119,98,2,2.0482559999999963,253.02651246419597,98,88,10,0,11885,10529,1354,2,0.8859066049642407,166448.96058455354,1.082091565477872,62259,7650,32.58854029401455
120,97,3,2.092441227039641,255.11895369123562,98,86,11,1,11983,10615,1365,3,0.885838270883752,166432.16580210783,1.0824337163888613,62773,7714,32.44984048471397
121,97,3,2.056383999999996,257.1753376912356,97,86,11,0,12080,10701,1376,3,0.8858443708609272,166438.97655299449,1.0823373807829997,63279,7777,32.31444079074848
122,96,4,2.0550175083820292,259.23035519961763,97,84,12,1,12177,10785,1388,4,0.8856861295885686,166415.69605835897,1.0822626705200438,63784,7837,32.17982646071745
123,96,4,2.011679999999996,261.24203519961765,96,84,12,0,12273,10869,1400,4,0.8856025421657296,166420.38470868426,1.0818031657870502,64279,7896,32.051982249608145
124,96,4,2.023871999999996,263.26590719961763,96,87,9,0,12369,10956,1409,4,0.8857627940819791,166462.8757523513,1.0812084532255124,64777,7949,31.92137634878515
125,96,4,1.9751039999999966,265.2410111996176,96,84,12,0,12465,11040,1421,4,0.8856799037304453,166490.09065481825,1.0804390406755227,65263,8001,31.794862040845178
126,96,4,2.015743999999996,267.2567551996176,96,84,12,0,12561,11124,1433,4,0.8855982803916885,166491.58209963804,1.0798690309680652,65759,8056,31.665799024333843
127,96,4,1.9751039999999966,269.2318591996176,96,83,13,0,12657,11207,1446,4,0.8854388875720945,166503.32591865739,1.079144501789852,66245,8110,31.5407603403201
128,96,4,2.0279359999999964,271.2597951996176,96,86,10,0,12753,11293,1456,4,0.8855171332235553,166526.70539236505,1.0787119181588527,66744,8167,31.410045678258836
129,96,4,2.0441919999999962,273.3039871996176,96,85,11,0,12849,11378,1467,4,0.8855163825978676,166525.19586828654,1.0780748081903837,67247,8229,31.278399157847556
130,96,4,1.979167999999997,275.2831551996176,96,84,12,0,12945,11462,1479,4,0.8854383932020085,166548.51244622644,1.0772464193876437,67734,8281,31.152487890701547
131,96,4,2.0482559999999967,277.3314111996176,96,86,10,0,13041,11548,1489,4,0.8855149145004217,166558.8466888517,1.0765566892301892,68238,8339,31.019431434423765
132,95,5,1.9785634572449333,279.30997465686255,96,85,10,1,13137,11633,1499,5,0.885514196544112,166596.27017318454,1.0759102146747137,68724,8385,30.893259941569543
133,95,5,1.9994879999999968,281.30946265686254,95,84,11,0,13232,11717,1510,5,0.8855048367593712,166606.55335710818,1.0752090209632141,69216,8442,30.766802873995456
134,95,5,1.9669759999999965,283.2764386568625,95,82,13,0,13327,11799,1523,5,0.8853455391310873,166607.57323756567,1.0745685469316506,69700,8497,30.64327820647699
135,95,5,2.0198079999999967,285.29624665686254,95,84,11,0,13422,11883,1534,5,0.8853375055878409,166605.76701231083,1.0740029131163498,70197,8557,30.515746879235227
136,94,6,1.9542353106130603,287.2504819674756,95,83,11,1,13517,11966,1545,6,0.885255604054154,166628.09291794148,1.0730910138088872,70677,8602,30.394084165015165
137,94,6,1.9466559999999966,289.1971379674756,94,82,12,0,13611,12048,1557,6,0.8851664095217103,166640.6532882766,1.0723469755765134,71156,8652,30.27265193835742
138,94,6,1.9913599999999967,291.1884979674756,94,82,12,0,13705,12130,1569,6,0.8850784385260854,166627.46069530348,1.0717429912823186,71646,8713,30.14833939393381
139,94,6,1.9344639999999969,293.1229619674756,94,83,11,0,13799,12213,1580,6,0.8850641350822523,166660.433806003,1.070926057737658,72122,8761,30.029256706446358
140,94,6,1.9994879999999973,295.1224499674756,94,82,12,0,13893,12295,1592,6,0.8849780464982365,166642.69358505245,1.0701608329866308,72614,8823,29.90633778836041
141,94,6,1.9507199999999971,297.07316996747556,94,84,10,0,13987,12379,1602,6,0.8850361049546007,166679.4749772292,1.069477385634486,73094,8873,29.78771552255397
142,94,6,1.9222719999999969,298.9954419674756,94,82,12,0,14081,12461,1614,6,0.8849513528868689,166704.88242901702,1.068745259544973,73567,8918,29.66935008729038
143,94,6,1.9913599999999965,300.98680196747557,94,83,11,0,14175,12544,1625,6,0.8849382716049383,166704.9839794038,1.068202011014176,74057,8976,29.545135880401
144,94,6,1.9629119999999969,302.9497139674756,94,81,13,0,14269,12625,1638,6,0.8847851986824585,166694.3313418069,1.0674222038993288,74540,9035,29.42266666157344
145,94,6,1.9588479999999973,304.9085619674756,94,82,12,0,14363,12707,1650,6,0.8847037526979044,166699.1562061212,1.0666209269487457,75022,9091,29.300453246699117
146,94,6,1.9141439999999967,306.8227059674756,94,83,11,0,14457,12790,1661,6,0.8846925364875147,166741.24504143823,1.0658251541477397,75493,9133,29.182867828485076
147,94,6,1.9710399999999972,308.7937459674756,94,83,11,0,14551,12873,1672,6,0.8846814651913958,166752.08184243314,1.0651602402203837,75978,9189,29.06237984691952
148,93,7,1.95313955402644,310.74688552150207,94,82,11,1,14645,12955,1683,7,0.8846022533287812,166759.51526604866,1.0643666766916124,76458,9243,28.94364762002657
149,93,7,1.926335999999997,312.67322152150206,93,82,11,0,14738,13037,1694,7,0.8845840683946261,166781.15172844715,1.0636301507179753,76932,9293,28.826098694086646
150,93,7,1.9141439999999974,314.5873655215021,93,82,11,0,14831,13119,1705,7,0.8845661115231609,166808.98774497432,1.0627532084210813,77403,9341,28.710774709355327
151,92,8,1.9307916671821712,316.51815718868426,93,83,9,1,14924,13202,1714,8,0.8846153846153846,166840.3495996593,1.062009563833736,77878,9386,28.593326832415666
152,92,8,1.9100799999999971,318.42823718868425,92,82,10,0,15016,13284,1724,8,0.8846563665423548,166869.6233384426,1.0612104209716184,78348,9435,28.478427813416676
153,92,8,1.9669759999999974,320.39521318868424,92,82,10,0,15108,13366,1734,8,0.8846968493513371,166868.91001868516,1.060535712296342,78832,9495,28.36023737982293
