round,round_airtime_s,elapsed_channel_time_s,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
70,1.6,111.99999999999986,100,0,42.339880810435474,7000,7000,0,1.0,0.8090003459466333,250000.00000000032
71,1.6,113.59999999999985,100,0,42.23045053629883,7100,7100,0,1.0,0.8090003459466333,250000.00000000032
72,1.6,115.19999999999985,100,0,42.1210202621622,7200,7200,0,1.0,0.8090003459466333,250000.00000000032
73,1.6,116.79999999999984,100,0,42.011589988025555,7300,7300,0,1.0,0.8090003459466333,250000.00000000035
74,1.6,118.39999999999984,100,0,41.90215971388891,7400,7400,0,1.0,0.8090003459466333,250000.00000000035
75,1.6,119.99999999999983,100,0,41.79272943975227,7500,7500,0,1.0,0.8090003459466333,250000.00000000035
76,1.6,121.59999999999982,100,0,41.68329916561564,7600,7600,0,1.0,0.8090003459466333,250000.00000000035
77,1.6,123.19999999999982,100,0,41.57386889147901,7700,7700,0,1.0,0.8090003459466333,250000.00000000038
78,1.6,124.79999999999981,100,0,41.464438617342374,7800,7800,0,1.0,0.8090003459466333,250000.00000000038
79,1.6,126.3999999999998,100,0,41.35500834320573,7900,7900,0,1.0,0.8090003459466333,250000.00000000038
80,1.6,127.9999999999998,100,0,41.24557806906909,8000,8000,0,1.0,0.8090003459466333,250000.00000000038
81,1.6,129.5999999999998,100,0,41.13614779493247,8100,8100,0,1.0,0.8090003459466333,250000.0000000004
82,1.6,131.1999999999998,100,0,41.02671752079583,8200,8200,0,1.0,0.8090003459466333,250000.0000000004
83,1.6,132.79999999999978,100,0,40.91728724665919,8300,8300,0,1.0,0.8090003459466333,250000.0000000004
84,1.6,134.39999999999978,100,0,40.80785697252256,8400,8400,0,1.0,0.8090003459466333,250000.0000000004
85,1.6,135.99999999999977,100,0,40.698426698385916,8500,8500,0,1.0,0.8090003459466333,250000.0000000004
86,1.6,137.59999999999977,100,0,40.588996424249274,8600,8600,0,1.0,0.8090003459466333,250000.00000000044
87,1.6,139.19999999999976,100,0,40.479566150112646,8700,8700,0,1.0,0.8090003459466333,250000.00000000044
88,1.6,140.79999999999976,100,0,40.370135875976004,8800,8800,0,1.0,0.8090003459466333,250000.00000000044
89,1.6,142.39999999999975,100,0,40.260705601839376,8900,8900,0,1.0,0.8090003459466333,250000.00000000044
90,1.6,143.99999999999974,100,0,40.151275327702734,9000,9000,0,1.0,0.8090003459466333,250000.00000000044
91,1.6,145.59999999999974,100,0,40.0418450535661,9100,9100,0,1.0,0.8090003459466333,250000.00000000044
92,1.6,147.19999999999973,100,0,39.93241477942947,9200,9200,0,1.0,0.8090003459466333,250000.00000000047
93,1.6,148.79999999999973,100,0,39.82298450529283,9300,9300,0,1.0,0.8090003459466333,250000.00000000047
94,1.6,150.39999999999972,100,0,39.713554231156195,9400,9400,0,1.0,0.8090003459466333,250000.00000000047
95,1.6,151.99999999999972,100,0,39.60412395701956,9500,9500,0,1.0,0.8090003459466333,250000.00000000047
96,1.6,153.5999999999997,100,0,39.494693682882925,9600,9600,0,1.0,0.8090003459466333,250000.00000000047
97,1.6,155.1999999999997,100,0,39.385263408746276,9700,9700,0,1.0,0.8090003459466333,250000.00000000047
98,1.6,156.7999999999997,100,0,39.27583313460965,9800,9800,0,1.0,0.8090003459466333,250000.0000000005
99,1.6,158.3999999999997,100,0,39.166402860473006,9900,9900,0,1.0,0.8090003459466333,250000.0000000005
100,1.6,159.9999999999997,100,0,39.05697258633637,10000,10000,0,1.0,0.8090003459466333,250000.0000000005
101,1.6,161.59999999999968,100,0,38.94754231219972,10100,10100,0,1.0,0.8090003459466333,250000.0000000005
102,1.6,163.19999999999968,100,0,38.8381120380631,10200,10200,0,1.0,0.8090003459466332,250000.0000000005
103,1.6,164.79999999999967,100,0,38.728681763926474,10300,10300,0,1.0,0.8090003459466332,250000.0000000005
104,1.6,166.39999999999966,100,0,38.61925148978983,10400,10400,0,1.0,0.8090003459466331,250000.0000000005
105,1.6,167.99999999999966,100,0,38.5098212156532,10500,10500,0,1.0,0.809000345946633,250000.0000000005
106,1.6,169.59999999999965,100,0,38.400390941516555,10600,10600,0,1.0,0.8090003459466328,250000.00000000052
107,1.6,171.19999999999965,100,0,38.29096066737992,10700,10700,0,1.0,0.8090003459466328,250000.00000000052
108,1.6,172.79999999999964,100,0,38.18153039324328,10800,10800,0,1.0,0.8090003459466327,250000.00000000052
109,1.6,174.39999999999964,100,0,38.07210011910666,10900,10900,0,1.0,0.8090003459466326,250000.00000000052
110,1.6,175.99999999999963,100,0,37.962669844970016,11000,11000,0,1.0,0.8090003459466326,250000.00000000052
111,1.6,177.59999999999962,100,0,37.853239570833374,11100,11100,0,1.0,0.8090003459466325,250000.00000000052
112,1.6,179.19999999999962,100,0,37.743809296696746,11200,11200,0,1.0,0.8090003459466324,250000.00000000052
113,1.6,180.7999999999996,100,0,37.63437902256011,11300,11300,0,1.0,0.8090003459466324,250000.00000000052
114,1.6,182.3999999999996,100,0,37.52494874842347,11400,11400,0,1.0,0.8090003459466323,250000.00000000052
115,1.6,183.9999999999996,100,0,37.415518474286834,11500,11500,0,1.0,0.8090003459466322,250000.00000000055
116,1.6,185.5999999999996,100,0,37.30608820015021,11600,11600,0,1.0,0.8090003459466322,250000.00000000055
117,1.6,187.1999999999996,100,0,37.196657926013565,11700,11700,0,1.0,0.8090003459466321,250000.00000000055
118,1.6,188.79999999999959,100,0,37.087227651876916,11800,11800,0,1.0,0.809000345946632,250000.00000000055
119,1.6,190.39999999999958,100,0,36.97779737774027,11900,11900,0,1.0,0.809000345946632,250000.00000000055
120,1.6,191.99999999999957,100,0,36.86836710360365,12000,12000,0,1.0,0.8090003459466318,250000.00000000055
121,1.6,193.59999999999957,100,0,36.75893682946701,12100,12100,0,1.0,0.8090003459466318,250000.00000000055
122,1.6,195.19999999999956,100,0,36.649506555330376,12200,12200,0,1.0,0.8090003459466317,250000.00000000055
123,1.6,196.79999999999956,100,0,36.54007628119374,12300,12300,0,1.0,0.8090003459466317,250000.00000000055
124,1.6,198.39999999999955,100,0,36.4306460070571,12400,12400,0,1.0,0.8090003459466316,250000.00000000055
125,1.6,199.99999999999955,100,0,36.32121573292046,12500,12500,0,1.0,0.8090003459466316,250000.00000000058
126,1.6,201.59999999999954,100,0,36.21178545878384,12600,12600,0,1.0,0.8090003459466315,250000.00000000058
127,1.6,203.19999999999953,100,0,36.1023551846472,12700,12700,0,1.0,0.8090003459466315,250000.00000000058
128,1.6,204.79999999999953,100,0,35.99292491051056,12800,12800,0,1.0,0.8090003459466314,250000.00000000058
129,1.6,206.39999999999952,100,0,35.88349463637392,12900,12900,0,1.0,0.8090003459466314,250000.00000000058
130,1.6,207.99999999999952,100,0,35.77406436223728,13000,13000,0,1.0,0.8090003459466313,250000.00000000058
131,1.6,209.5999999999995,100,0,35.664634088100655,13100,13100,0,1.0,0.8090003459466313,250000.00000000058
132,1.6,211.1999999999995,100,0,35.55520381396401,13200,13200,0,1.0,0.8090003459466312,250000.00000000058
133,1.6,212.7999999999995,100,0,35.44577353982738,13300,13300,0,1.0,0.8090003459466312,250000.00000000058
134,1.6,214.3999999999995,100,0,35.33634326569074,13400,13400,0,1.0,0.8090003459466311,250000.00000000058
135,1.6,215.9999999999995,100,0,35.22691299155411,13500,13500,0,1.0,0.8090003459466311,250000.00000000058
136,1.6,217.59999999999948,100,0,35.11748271741747,13600,13600,0,1.0,0.809000345946631,250000.00000000058
137,1.6,219.19999999999948,100,0,35.008052443280846,13700,13700,0,1.0,0.809000345946631,250000.00000000058
138,1.6,220.79999999999947,100,0,34.898622169144204,13800,13800,0,1.0,0.8090003459466308,250000.0000000006
139,1.6,222.39999999999947,100,0,34.78919189500756,13900,13900,0,1.0,0.8090003459466308,250000.0000000006
140,1.6,223.99999999999946,100,0,34.67976162087092,14000,14000,0,1.0,0.8090003459466308,250000.0000000006
141,1.6,225.59999999999945,100,0,34.570331346734285,14100,14100,0,1.0,0.8090003459466307,250000.0000000006
142,1.6,227.19999999999945,100,0,34.46090107259765,14200,14200,0,1.0,0.8090003459466307,250000.0000000006
143,1.6,228.79999999999944,100,0,34.35147079846102,14300,14300,0,1.0,0.8090003459466306,250000.0000000006
144,1.6,230.39999999999944,100,0,34.24204052432439,14400,14400,0,1.0,0.8090003459466306,250000.0000000006
145,1.6,231.99999999999943,100,0,34.132610250187746,14500,14500,0,1.0,0.8090003459466306,250000.0000000006
146,1.6,233.59999999999943,100,0,34.02317997605111,14600,14600,0,1.0,0.8090003459466305,250000.0000000006
147,1.6,235.19999999999942,100,0,33.91374970191446,14700,14700,0,1.0,0.8090003459466305,250000.0000000006
148,1.6,236.79999999999941,100,0,33.80431942777784,14800,14800,0,1.0,0.8090003459466304,250000.0000000006
149,1.6,238.3999999999994,100,0,33.6948891536412,14900,14900,0,1.0,0.8090003459466304,250000.0000000006
150,1.6,239.9999999999994,100,0,33.585458879504564,15000,15000,0,1.0,0.8090003459466304,250000.0000000006
151,1.6,241.5999999999994,100,0,33.47602860536792,15100,15100,0,1.0,0.8090003459466303,250000.0000000006
152,1.6,243.1999999999994,100,0,33.366598331231295,15200,15200,0,1.0,0.8090003459466303,250000.0000000006
153,1.6,244.7999999999994,100,0,33.25716805709465,15300,15300,0,1.0,0.8090003459466303,250000.00000000064
154,1.6,246.39999999999938,100,0,33.14773778295802,15400,15400,0,1.0,0.8090003459466302,250000.00000000064
155,1.6,247.99999999999937,100,0,33.03830750882138,15500,15500,0,1.0,0.8090003459466302,250000.00000000064
156,1.6,249.59999999999937,100,0,32.928877234684755,15600,15600,0,1.0,0.8090003459466302,250000.00000000064
157,1.6,251.19999999999936,100,0,32.81944696054811,15700,15700,0,1.0,0.8090003459466301,250000.00000000064
158,1.6,252.79999999999936,100,0,32.71001668641148,15800,15800,0,1.0,0.8090003459466301,250000.00000000064
